,,,El METODO CLEE,,,,,,
,,,,,,,,,
,,,,,,,,,
,MP:,Lina Toro,,,,,,,
,Proyecto:,Jabonería Artesanal,,,,,,,
,# Fase ,Nombre de Fase,Tarea ,Sub Tarea,Responsable ,Fecha Límite,Prioridad,Estado,Comentarios
,0,Análisis y Diagnóstico,Métricas,Compartir Métricas,MP,,Completado,Completado,
,0,Análisis y Diagnóstico,Métricas,Análizar Métricas,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Métricas,Generar Informe,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Métricas,Revisión de Métricas,JC+MP,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Compartir referentes,MP,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Análisis de Referentes,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Generar Informe ,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Llamada Análisis Comp.,JC+MP,,Completado,Completado,
,0,Análisis y Diagnóstico,HIstoria del Héroe,Llamada HDH,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Elaborar Encuesta,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Distribuir Encuesta,MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Análisis de Encuesta,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Revisión de Análisis,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Avatares y BP,Creación de Clusters,MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Avatares y BP,Análisis Avatares 12 bloques,MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Avatares y BP,Revisión de Avatares,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Optimización de Oferta,Análisis Actual + visión,MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Optimización de Oferta,Análisis Actual + propuesta estratégica,JC,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Optimización de Oferta,Revisión conjunta. + Definición de oferta,JC+MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Mejora de Producto,Evaluación Actual + propuesta estratégica,JC+MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Mejora de Producto,Revisión final,JC+MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Coherencia de Marca,Branding,MP,,Imp+Urg.,En Progreso,
,0,Análisis y Diagnóstico,Coherencia de Marca,Foto,MP,,Imp+Urg.,En Progreso,
,0,Análisis y Diagnóstico,Coherencia de Marca,Contenidos,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Creación de PUV's,PUV Marca,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Creación de PUV's,PUV Producto,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Creación de PUV's,PUV Lanzamiento,JC+MP,,Importante,Pendiente,
,1,Creación,Casa Dig. - Comunidad,Construcción del espacio,JC+MP,,Urgente,Pendiente,
,1,Creación,Casa Dig. - Comunidad,Definir módulos y escalera de valor,JC+MP,,Imp+Urg.,En Progreso,
,1,Creación,Casa Dig. - Comunidad,Definir gamificación (si aplica),JC+MP,,Imp+Urg.,Pendiente,
,1,Creación,Casa Dig. - Comunidad,Cargar o crear productos/cursos,MP,,Importante,Pendiente,Confirmar tiempos para grabar y editar
